population,CLAVECARRERA,n,unique_students,any_visit_rate,mean_visits,mean_z,sd_z,included_n_ge_min,min_n_rule
All observed math-course attempts with CMAT coverage,BFP,5,3,0.0,0.0,-0.11398744848216565,1.15718746028791,False,30
All observed math-course attempts with CMAT coverage,LCD,5,5,0.0,0.0,-0.452437871425792,1.1942002390769872,False,30
All observed math-course attempts with CMAT coverage,LLI,5,3,0.0,0.0,-1.2720176210795393,1.0616777137657671,False,30
All observed math-course attempts with CMAT coverage,BIC,4,2,0.25,0.25,-1.742771854815387,2.81277542268798,False,30
All observed math-course attempts with CMAT coverage,BIM,4,2,0.0,0.0,-0.04124374179105467,0.8426671652332522,False,30
All observed math-course attempts with CMAT coverage,LBNM,4,2,0.75,1.5,0.3425002486983809,0.7445724179842387,False,30
All observed math-course attempts with CMAT coverage,LMR,4,4,0.0,0.0,-0.6098015443862761,0.7313276501288599,False,30
All observed math-course attempts with CMAT coverage,BBM,3,1,0.0,0.0,-1.4076463520509004,2.142059645517772,False,30
All observed math-course attempts with CMAT coverage,BCN,3,2,0.0,0.0,-0.6981762825609068,0.9503413217734576,False,30
All observed math-course attempts with CMAT coverage,BFA,3,1,0.0,0.0,0.2310421412310039,0.7253932279436831,False,30
All observed math-course attempts with CMAT coverage,BRI,3,3,0.0,0.0,-0.6663044392718439,0.9664393949222775,False,30
All observed math-course attempts with CMAT coverage,BHR,2,2,0.0,0.0,-0.9839590021922772,2.274111547652452,False,30
All observed math-course attempts with CMAT coverage,BII,2,2,0.0,0.0,-1.0171777577830508,1.6261123193019138,False,30
All observed math-course attempts with CMAT coverage,BIS,2,1,0.0,0.0,-2.3019383564204503,0.2855837987346234,False,30
All observed math-course attempts with CMAT coverage,BNA,2,2,0.5,1.0,-0.22263088675599546,1.0796538798009836,False,30
All observed math-course attempts with CMAT coverage,BPA,2,2,0.0,0.0,-0.6489589361193415,0.6323273905572263,False,30
All observed math-course attempts with CMAT coverage,BPM,2,1,0.5,1.0,-1.0513557904588682,1.7138192945356812,False,30
All observed math-course attempts with CMAT coverage,CIV,2,2,0.5,0.5,-0.35618345572569365,1.9435822306950037,False,30
All observed math-course attempts with CMAT coverage,LHC,2,2,0.0,0.0,0.1946707168457063,1.6532256195057387,False,30
All observed math-course attempts with CMAT coverage,BEC,1,1,0.0,0.0,-1.3673556226424122,,False,30
All observed math-course attempts with CMAT coverage,BIY,1,1,0.0,0.0,-1.2970761566316595,,False,30
All observed math-course attempts with CMAT coverage,BMT,1,1,0.0,0.0,-0.8046355593626817,,False,30
All observed math-course attempts with CMAT coverage,BNM,1,1,0.0,0.0,-0.3207192380809079,,False,30
All observed math-course attempts with CMAT coverage,BPO,1,1,0.0,0.0,-0.195380700698327,,False,30
All observed math-course attempts with CMAT coverage,BQI,1,1,0.0,0.0,-1.2923560835292853,,False,30
All observed math-course attempts with CMAT coverage,BRT,1,1,1.0,1.0,0.0467961394851219,,False,30
All observed math-course attempts with CMAT coverage,LMTM,1,1,0.0,0.0,-1.010978042822486,,False,30
All observed math-course attempts with CMAT coverage,LNEM,1,1,0.0,0.0,-0.22857918647692993,,False,30
All observed math-course attempts with CMAT coverage,LNMM,1,1,0.0,0.0,-1.197266516593416,,False,30
All observed math-course attempts with CMAT coverage,LRPM,1,1,0.0,0.0,0.2414921826671073,,False,30
First-MU attempts with CMAT coverage,LAD,562,562,0.20818505338078291,0.5231316725978647,-0.25613671606125116,0.9933932392374285,True,30
First-MU attempts with CMAT coverage,LNI,550,550,0.19818181818181818,0.5818181818181818,0.08539245976688926,0.8885583085094875,True,30
First-MU attempts with CMAT coverage,LAR,445,445,0.09662921348314607,0.23370786516853934,-0.03848026481819383,0.9980344073081353,True,30
First-MU attempts with CMAT coverage,LAT,368,368,0.30434782608695654,0.9184782608695652,0.12943259199907978,0.9538479628859953,True,30
First-MU attempts with CMAT coverage,LII,361,361,0.19113573407202217,0.6398891966759003,0.1820730268153104,0.8260875710383675,True,30
First-MU attempts with CMAT coverage,LMK,350,350,0.2,0.5971428571428572,-0.06456724973171697,0.9639963113405046,True,30
First-MU attempts with CMAT coverage,LFP,343,343,0.19825072886297376,0.5510204081632653,-0.02146377135883556,1.0226579574622585,True,30
First-MU attempts with CMAT coverage,LMT,320,320,0.14375,0.346875,0.14724193875698563,0.8967530793707457,True,30
First-MU attempts with CMAT coverage,LBN,281,281,0.1601423487544484,0.5551601423487544,0.07994453795220333,0.9185736397684232,True,30
First-MU attempts with CMAT coverage,LIS,271,271,0.16236162361623616,0.44280442804428044,-0.028377746079493078,1.1096039215888152,True,30
First-MU attempts with CMAT coverage,LNM,249,249,0.17269076305220885,0.4939759036144578,0.18461318004737376,0.9337757115431553,True,30
First-MU attempts with CMAT coverage,LIC,222,222,0.14414414414414414,0.43243243243243246,-0.005919268528151604,1.0282781344885832,True,30
First-MU attempts with CMAT coverage,LIM,201,201,0.12437810945273632,0.39303482587064675,-0.005344228461103159,1.0480616925778532,True,30
First-MU attempts with CMAT coverage,LBM,199,199,0.21105527638190955,0.5276381909547738,0.24663126473086897,0.8954652446945335,True,30
First-MU attempts with CMAT coverage,LHR,178,178,0.15168539325842698,0.5337078651685393,-0.1437851298465881,1.0457703252289343,True,30
First-MU attempts with CMAT coverage,LEC,174,174,0.16091954022988506,0.5804597701149425,0.06872151194176629,0.9811802973420776,True,30
First-MU attempts with CMAT coverage,LCN,160,160,0.1875,0.4375,-0.09656940845071202,0.9324061101536151,True,30
First-MU attempts with CMAT coverage,LBI,152,152,0.18421052631578946,0.4144736842105263,2.0818314673250838e-05,0.9833562981600027,True,30
First-MU attempts with CMAT coverage,LQI,151,151,0.2251655629139073,0.8013245033112583,0.09743660279509157,0.9850580333144588,True,30
First-MU attempts with CMAT coverage,LFA,138,138,0.2463768115942029,0.6594202898550725,0.005444768447952254,1.0125162644267507,True,30
First-MU attempts with CMAT coverage,LFB,131,131,0.2366412213740458,0.6412213740458015,-0.0816967565743773,0.9912357586251239,True,30
First-MU attempts with CMAT coverage,LBC,118,118,0.23728813559322035,0.6440677966101694,0.14385889448509945,0.8432052325256206,True,30
First-MU attempts with CMAT coverage,LRT,96,96,0.16666666666666666,1.0,-0.0056851943614062315,1.0951624076762396,True,30
First-MU attempts with CMAT coverage,LDS,87,87,0.26436781609195403,1.0919540229885059,0.19050206302350042,0.9316180695045516,True,30
First-MU attempts with CMAT coverage,LCS,86,86,0.2441860465116279,0.5581395348837209,0.08818674181772429,1.0844430614985647,True,30
First-MU attempts with CMAT coverage,LIN,64,64,0.203125,0.40625,0.031079609978618555,1.0043624850458015,True,30
First-MU attempts with CMAT coverage,LNA,53,53,0.22641509433962265,0.5094339622641509,0.047699533989072014,1.0465131765922577,True,30
First-MU attempts with CMAT coverage,LIY,34,34,0.14705882352941177,0.14705882352941177,-0.19732868190751726,1.1998707020488002,True,30
First-MU attempts with CMAT coverage,LPM,30,30,0.23333333333333334,0.6,-0.5516912304086209,1.195336854189044,True,30
First-MU attempts with CMAT coverage,LDE,24,24,0.125,0.4166666666666667,-0.69635370855493,0.9804170153184997,False,30
First-MU attempts with CMAT coverage,LCU,23,23,0.17391304347826086,0.2608695652173913,-0.40317043015942944,1.0922357447301967,False,30
First-MU attempts with CMAT coverage,LND,21,21,0.14285714285714285,0.42857142857142855,-0.18443091517680277,1.09701836741978,False,30
First-MU attempts with CMAT coverage,LPA,20,20,0.2,0.4,-0.017315774224051672,0.7193438900184163,False,30
First-MU attempts with CMAT coverage,LIV,19,19,0.0,0.0,-0.2842461971899723,0.9685629800354917,False,30
First-MU attempts with CMAT coverage,BNI,17,17,0.0,0.0,-0.938010485414191,1.0817672015149005,False,30
First-MU attempts with CMAT coverage,LAI,13,13,0.3076923076923077,0.5384615384615384,-0.3208701723340559,0.7419078603520586,False,30
First-MU attempts with CMAT coverage,LRI,10,10,0.2,0.3,-0.9927533902113437,1.3871596341757249,False,30
First-MU attempts with CMAT coverage,BBA,9,9,0.0,0.0,-0.7719007336685275,0.9742770286952112,False,30
First-MU attempts with CMAT coverage,LRP,8,8,0.125,0.625,-0.8968755086266125,0.8337749922810622,False,30
First-MU attempts with CMAT coverage,BMK,7,7,0.14285714285714285,0.14285714285714285,0.11399240327919384,0.6475635728816014,False,30
First-MU attempts with CMAT coverage,LAP,7,7,0.42857142857142855,0.5714285714285714,-0.48335791484277213,1.2964652483367252,False,30
First-MU attempts with CMAT coverage,LMU,7,7,0.0,0.0,-0.1287268428920608,1.2018411258575519,False,30
First-MU attempts with CMAT coverage,BAR,4,4,0.0,0.0,-0.9100418751456599,2.001099678001121,False,30
First-MU attempts with CMAT coverage,LCD,4,4,0.0,0.0,-0.693975639959621,1.0477885902300348,False,30
First-MU attempts with CMAT coverage,LMR,4,4,0.0,0.0,-0.5172143027415851,0.9247486441597743,False,30
First-MU attempts with CMAT coverage,LPO,4,4,0.0,0.0,0.1816471101809295,0.15546442092753,False,30
First-MU attempts with CMAT coverage,LEA,3,3,0.3333333333333333,1.0,0.025365269412721474,1.3236852154356527,False,30
First-MU attempts with CMAT coverage,LEF,3,3,0.0,0.0,-0.4165774460742653,0.5298572992066365,False,30
First-MU attempts with CMAT coverage,LIO,3,3,0.0,0.0,-0.29379557222827307,1.3748503851581007,False,30
First-MU attempts with CMAT coverage,LLI,3,3,0.0,0.0,-0.8872751024513305,1.243042555046755,False,30
First-MU attempts with CMAT coverage,LRM,3,3,0.3333333333333333,5.333333333333333,0.2768894454528747,1.0401226407669943,False,30
First-MU attempts with CMAT coverage,BCN,2,2,0.0,0.0,-0.7766098023840021,1.1806934931267554,False,30
First-MU attempts with CMAT coverage,BFP,2,2,0.0,0.0,-0.7552706958122921,1.5652236980471357,False,30
First-MU attempts with CMAT coverage,BHR,2,2,0.0,0.0,-0.7374411978561065,1.942264456914105,False,30
First-MU attempts with CMAT coverage,BIC,2,2,0.5,0.5,0.5980778623356594,0.38381625697142696,False,30
First-MU attempts with CMAT coverage,BII,2,2,0.0,0.0,-1.112259900440621,1.4633692756025631,False,30
First-MU attempts with CMAT coverage,BNA,2,2,0.5,1.0,-0.5737973184612291,1.6011948927050492,False,30
First-MU attempts with CMAT coverage,INT,2,2,0.0,0.0,-1.6842005370419222,1.331988229671978,False,30
First-MU attempts with CMAT coverage,LBNM,2,2,0.5,0.5,-0.022239785782525612,0.8187663038839661,False,30
First-MU attempts with CMAT coverage,LHC,2,2,0.0,0.0,0.20688301151341865,1.670496412252514,False,30
First-MU attempts with CMAT coverage,LPD,2,2,0.5,2.0,-0.33454021366978776,1.0488061048940465,False,30
First-MU attempts with CMAT coverage,LTE,2,2,0.0,0.0,0.12164124073707333,1.3998010031316968,False,30
First-MU attempts with CMAT coverage,BBM,1,1,0.0,0.0,0.5682381320939207,,False,30
First-MU attempts with CMAT coverage,BEC,1,1,0.0,0.0,-1.7264198438427756,,False,30
First-MU attempts with CMAT coverage,BFA,1,1,0.0,0.0,-0.4989224361736284,,False,30
First-MU attempts with CMAT coverage,BIM,1,1,0.0,0.0,-0.9087301871388239,,False,30
First-MU attempts with CMAT coverage,BIS,1,1,0.0,0.0,-2.5221113232807233,,False,30
First-MU attempts with CMAT coverage,BIY,1,1,0.0,0.0,-1.3661962496825737,,False,30
First-MU attempts with CMAT coverage,BMT,1,1,0.0,0.0,-2.642094584857487,,False,30
First-MU attempts with CMAT coverage,BNM,1,1,0.0,0.0,-1.5612086136653054,,False,30
First-MU attempts with CMAT coverage,BQI,1,1,0.0,0.0,-1.7334713369991308,,False,30
First-MU attempts with CMAT coverage,BRT,1,1,1.0,1.0,-0.09057974459967767,,False,30
First-MU attempts with CMAT coverage,LMTM,1,1,0.0,0.0,-0.9982562518872427,,False,30
First-MU attempts with CMAT coverage,LNEM,1,1,0.0,0.0,-1.1837382402920564,,False,30
First-MU attempts with CMAT coverage,LNMM,1,1,0.0,0.0,-0.7095475284599411,,False,30
First-MU attempts with CMAT coverage,LPT,1,1,0.0,0.0,-1.157403145515327,,False,30
First-MU attempts with CMAT coverage,LRPM,1,1,0.0,0.0,0.20751209283526814,,False,30
Linked later-Calculus attempts (N=4211 risk set),LNI,409,409,0.22249388753056235,0.6528117359413202,-0.08797627510506077,0.8934929265157043,True,30
Linked later-Calculus attempts (N=4211 risk set),LAD,362,362,0.1464088397790055,0.39779005524861877,-0.3128809608921558,1.0666270952423074,True,30
Linked later-Calculus attempts (N=4211 risk set),LII,297,297,0.265993265993266,0.7272727272727273,0.03053552665308647,0.9243244498580069,True,30
Linked later-Calculus attempts (N=4211 risk set),LAT,292,292,0.4041095890410959,1.332191780821918,0.37425858307816695,0.8520064231394165,True,30
Linked later-Calculus attempts (N=4211 risk set),LFP,251,251,0.22310756972111553,0.7051792828685259,-0.1348672292091441,0.9875082821330264,True,30
Linked later-Calculus attempts (N=4211 risk set),LMK,241,241,0.1908713692946058,0.5684647302904564,-0.19116491274590408,1.0657825384418658,True,30
Linked later-Calculus attempts (N=4211 risk set),LMT,227,227,0.22466960352422907,0.6431718061674009,0.0654052583754185,1.0320450689469174,True,30
Linked later-Calculus attempts (N=4211 risk set),LBN,204,204,0.27941176470588236,0.8676470588235294,0.022892759188547652,0.8335468974251089,True,30
Linked later-Calculus attempts (N=4211 risk set),LNM,194,194,0.24742268041237114,0.7577319587628866,0.15721712177302363,0.9748689012631898,True,30
Linked later-Calculus attempts (N=4211 risk set),LIS,192,192,0.18229166666666666,0.5104166666666666,0.09783228589594688,0.9589553603866172,True,30
Linked later-Calculus attempts (N=4211 risk set),LIC,171,171,0.12280701754385964,0.3333333333333333,-0.18457273662599152,1.0064814165525,True,30
Linked later-Calculus attempts (N=4211 risk set),LBM,159,159,0.23270440251572327,0.6415094339622641,0.20388193068323796,0.8833563210149378,True,30
Linked later-Calculus attempts (N=4211 risk set),LIM,154,154,0.23376623376623376,0.525974025974026,-0.1286313283373599,1.0264652383540656,True,30
Linked later-Calculus attempts (N=4211 risk set),LEC,120,120,0.31666666666666665,1.5666666666666667,0.10613454214750018,0.9116702173883228,True,30
Linked later-Calculus attempts (N=4211 risk set),LQI,112,112,0.25,0.8392857142857143,0.06564345808485497,0.9778945513304113,True,30
Linked later-Calculus attempts (N=4211 risk set),LBI,109,109,0.2018348623853211,0.8532110091743119,-0.002353698573935465,0.9875482845657403,True,30
Linked later-Calculus attempts (N=4211 risk set),LBC,102,102,0.2647058823529412,0.8725490196078431,-0.016805652576154916,1.049304246581948,True,30
Linked later-Calculus attempts (N=4211 risk set),LFA,101,101,0.36633663366336633,1.297029702970297,0.4791247412232396,0.8121790642067488,True,30
Linked later-Calculus attempts (N=4211 risk set),LFB,97,97,0.10309278350515463,0.4948453608247423,0.0583790138164498,0.8753642727211807,True,30
Linked later-Calculus attempts (N=4211 risk set),LRT,67,67,0.208955223880597,0.6119402985074627,0.12963755375171063,0.9449584285532393,True,30
Linked later-Calculus attempts (N=4211 risk set),LDS,65,65,0.2,0.6923076923076923,0.43561900165427175,0.6535963834323105,True,30
Linked later-Calculus attempts (N=4211 risk set),LCS,62,62,0.3548387096774194,1.5,0.032238925524822784,0.9732338936355537,True,30
Linked later-Calculus attempts (N=4211 risk set),LIN,44,44,0.4090909090909091,0.9090909090909091,-0.004532215017870625,1.25374932487474,True,30
Linked later-Calculus attempts (N=4211 risk set),LNA,42,42,0.19047619047619047,0.5952380952380952,0.19738687616071554,0.7623836705720952,True,30
Linked later-Calculus attempts (N=4211 risk set),LIY,27,27,0.4074074074074074,0.8888888888888888,-0.17170263495613738,0.9493673737347432,False,30
Linked later-Calculus attempts (N=4211 risk set),LPM,13,13,0.07692307692307693,0.6923076923076923,-0.4963530385984499,0.9481579937601743,False,30
Linked later-Calculus attempts (N=4211 risk set),LND,11,11,0.18181818181818182,0.18181818181818182,0.14997725517900962,0.834433516489231,False,30
Linked later-Calculus attempts (N=4211 risk set),LHR,10,10,0.3,0.4,0.1937885756767076,0.5651383502708183,False,30
Linked later-Calculus attempts (N=4211 risk set),LPA,10,10,0.1,1.5,-0.16884814935152465,1.0729718289450585,False,30
Linked later-Calculus attempts (N=4211 risk set),LCU,9,9,0.2222222222222222,0.4444444444444444,-0.7542996956323854,1.4507309802299229,False,30
Linked later-Calculus attempts (N=4211 risk set),LIV,9,9,0.1111111111111111,0.1111111111111111,-0.7923448179864186,1.355811895506119,False,30
Linked later-Calculus attempts (N=4211 risk set),LAR,7,7,0.42857142857142855,0.42857142857142855,-0.7625374141192175,0.6287167251273041,False,30
Linked later-Calculus attempts (N=4211 risk set),BNI,6,6,0.3333333333333333,0.6666666666666666,-0.9462296383941253,1.2663793913140873,False,30
Linked later-Calculus attempts (N=4211 risk set),LAI,4,4,0.25,1.0,-0.2508476375957321,1.1289775602681034,False,30
Linked later-Calculus attempts (N=4211 risk set),BMK,3,3,0.0,0.0,-0.5499648217272873,0.8801896042102035,False,30
Linked later-Calculus attempts (N=4211 risk set),LCN,3,3,0.0,0.0,-0.7417769753651097,0.5340874851507712,False,30
Linked later-Calculus attempts (N=4211 risk set),LDE,3,3,0.3333333333333333,0.3333333333333333,-0.7854030471843183,0.7907128035774535,False,30
Linked later-Calculus attempts (N=4211 risk set),LMU,3,3,0.3333333333333333,0.3333333333333333,-0.9925139867435703,1.4042163581931093,False,30
Linked later-Calculus attempts (N=4211 risk set),BBA,2,2,0.0,0.0,-0.9171759068444435,1.055111364652915,False,30
Linked later-Calculus attempts (N=4211 risk set),LAP,2,2,0.0,0.0,-0.6092836748876574,0.6661330436146449,False,30
Linked later-Calculus attempts (N=4211 risk set),LPO,2,2,0.0,0.0,-1.0717938213454405,0.7733416878548606,False,30
Linked later-Calculus attempts (N=4211 risk set),LRM,2,2,1.0,3.5,0.6282172779470747,0.11358821319781863,False,30
Linked later-Calculus attempts (N=4211 risk set),LRP,2,2,0.5,0.5,-0.81442044761009,0.9195299436867537,False,30
Linked later-Calculus attempts (N=4211 risk set),LTE,2,2,0.0,0.0,-1.647429080464321,3.4321058780719125,False,30
Linked later-Calculus attempts (N=4211 risk set),BBM,1,1,0.0,0.0,-4.0213880772819754,,False,30
Linked later-Calculus attempts (N=4211 risk set),BFP,1,1,0.0,0.0,0.4232613553516989,,False,30
Linked later-Calculus attempts (N=4211 risk set),BIC,1,1,0.0,0.0,-3.632043762657558,,False,30
Linked later-Calculus attempts (N=4211 risk set),LBNM,1,1,1.0,4.0,0.8827714096735001,,False,30
Linked later-Calculus attempts (N=4211 risk set),LEA,1,1,0.0,0.0,0.8297627624397157,,False,30
Linked later-Calculus attempts (N=4211 risk set),LIO,1,1,0.0,0.0,0.47589821403917737,,False,30
Linked later-Calculus attempts (N=4211 risk set),LRI,1,1,0.0,0.0,-0.05225471749405268,,False,30
