diagnostic_id,student_id,career_label_id,term_id,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
DIAG_00014,stu_9237eaa8998144fffffcc80d6ab57c3c,,2020_P,40.0,20.0,20.0,10.0,90.0,DMU,60.0
DIAG_00015,stu_bc840c93fad2ffbd14fff728eebccb1e,CARLBL_F867BE971F,2020_P,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00016,stu_03e4d5665afb1f3706b713f6abc3a99b,CARLBL_F867BE971F,2020_P,20.0,0.0,0.0,0.0,20.0,DMU,13.33333333333333
DIAG_00017,stu_5096ed9a4e2faeb0bdc5df58dc495ec8,,2020_P,40.0,40.0,10.0,30.0,120.0,DMU,80.0
DIAG_00018,stu_4c8b7d889c564bc49b44cb83c145113b,CARLBL_F041EA11A4,2020_P,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00019,stu_fc197fc60416c82a05e5efdb08e56b29,,2020_P,20.0,20.0,0.0,10.0,50.0,DMU,33.33333333333333
DIAG_00020,stu_ace05db6b7f0746da091793c75b6db97,,2020_P,20.0,20.0,40.0,10.0,90.0,DMU,60.0
DIAG_00021,stu_fc892a7fd2fcb11b40248bc493b05814,CARLBL_F867BE971F,2020_P,30.0,30.0,10.0,0.0,70.0,DMU,46.66666666666666
DIAG_00022,stu_5a1a3fd3c9db7a986b01d45acdb06f18,,2020_P,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00023,stu_8d63ad6f67c1c665d5f62e45b6b7828f,,2020_P,30.0,30.0,0.0,10.0,70.0,DMU,46.66666666666666
DIAG_00024,stu_b907075b857fd40f2a6a9d1eba137024,,2020_P,40.0,20.0,10.0,20.0,90.0,DMU,60.0
DIAG_00025,stu_2e5b9fc6c06b7b461f7b5165b967d742,CARLBL_DAB7ED3371,2020_P,30.0,20.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00026,stu_f28e8b87edc669a61a0f965ac88bdd5c,CARLBL_41179F062D,2020_P,10.0,20.0,20.0,0.0,50.0,DMU,33.33333333333333
DIAG_00027,stu_10626c3f44cf7b6ee66f03dfa933f313,CARLBL_1D36359214,2020_P,20.0,20.0,0.0,10.0,50.0,DMU,33.33333333333333
DIAG_00028,stu_90012fd95c681d1ca7e6ac2c4a293253,CARLBL_28FD56FF33,2020_P,30.0,20.0,30.0,10.0,90.0,DMU,60.0
DIAG_00029,stu_3f0b9881beee7181a6e97a465d3bb4a3,,2020_P,20.0,30.0,20.0,0.0,70.0,DMU,46.66666666666666
DIAG_00030,stu_364aaf0911a7f76f48b8f854c17d0852,CARLBL_CC13F1BB98,2020_P,30.0,10.0,30.0,20.0,90.0,DMU,60.0
DIAG_00031,stu_c345bd4f71ec96d07dfa6ebc114fdbd4,,2020_P,40.0,10.0,20.0,0.0,70.0,DMU,46.66666666666666
DIAG_00032,stu_9749c39c399a3778e239060b8887f5fa,,2020_P,30.0,20.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00033,stu_899bea9d1f0c50cb0564c350bbabe61d,CARLBL_563A8FB47A,2020_P,40.0,20.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00034,stu_f3d9dbc3203639057be083b5a2ca277d,,2020_P,30.0,10.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00035,stu_583d021ff8fa1e78b19abd74fb1b6576,,2020_P,30.0,40.0,40.0,20.0,130.0,DMU,86.66666666666667
DIAG_00036,stu_5e9041e3aa132781eff1f9f4a73478a3,,2020_P,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
DIAG_00037,stu_529d830267f4e3d1e1b3a8083a67cd72,CARLBL_F041EA11A4,2020_P,20.0,30.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00038,stu_43d4646af1af62e10fc82f1e5e6d146b,,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00039,stu_8bfc3c164b7d170dbbb2e109d80de9b2,,2020_P,30.0,20.0,40.0,10.0,100.0,DMU,66.66666666666666
DIAG_00040,stu_92753a2f6c1ef77f8361d7eb8a6fdded,CARLBL_F867BE971F,2020_P,10.0,20.0,30.0,0.0,60.0,DMU,40.0
DIAG_00041,stu_9219e207b668876dcd454b10c09cc189,,2020_P,30.0,20.0,0.0,20.0,70.0,DMU,46.66666666666666
DIAG_00042,stu_62e73b0f3a5fe0417c621a302afcb7ae,,2020_P,30.0,20.0,30.0,30.0,110.0,DMU,73.33333333333333
DIAG_00043,stu_c5bed7e6f23f7b43cda609d8d5fc1134,CARLBL_DAB7ED3371,2020_P,40.0,20.0,40.0,10.0,110.0,DMU,73.33333333333333
DIAG_00044,stu_c9281817ce8f3ab97a56f6c63863f821,,2020_P,30.0,20.0,20.0,20.0,90.0,DMU,60.0
DIAG_00045,stu_5cef5936c0fd6dd1cf6fc8b720019340,,2020_P,30.0,30.0,0.0,0.0,60.0,DMU,40.0
DIAG_00046,stu_d5d481e821e3ec165b4cbf1055e8746f,,2020_P,30.0,20.0,10.0,0.0,60.0,DMU,40.0
DIAG_00047,stu_3572b2bbad63f8a011319fcadd417231,CARLBL_255574A75E,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00048,stu_4435c65dae31791581e023d3a3cdccac,,2020_P,0.0,30.0,10.0,0.0,40.0,DMU,26.66666666666667
DIAG_00049,stu_c5f656dabb376521c414da5fa4e3fad5,,2020_P,20.0,30.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00050,stu_778f1af91adb61f458c598f68220d131,CARLBL_563A8FB47A,2020_P,20.0,10.0,0.0,0.0,30.0,DMU,20.0
DIAG_00051,stu_364e700d0139450bf514f01807706711,CARLBL_4D358FAC4B,2020_P,20.0,30.0,10.0,20.0,80.0,DMU,53.33333333333334
DIAG_00052,stu_df91f647a1f50be5d3aceeb66564a73e,CARLBL_783067A8AC,2020_P,20.0,30.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00053,stu_947e22830e7c5eb5eef9ee028f2117dc,,2020_P,20.0,20.0,10.0,20.0,70.0,DMU,46.66666666666666
DIAG_00054,stu_04fe18d1c7131b210f66ef12343a7cc4,,2020_P,20.0,30.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00055,stu_b7a3461c1dd76a0315019b6476979367,,2020_P,10.0,30.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00056,stu_7978b7152d7ccd266a2cc30d2210a9ea,,2020_P,30.0,40.0,30.0,0.0,100.0,DMU,66.66666666666666
DIAG_00057,stu_36b367671488a4f22bf867455b8ebb6c,CARLBL_41179F062D,2020_P,20.0,10.0,0.0,0.0,30.0,DMU,20.0
DIAG_00058,stu_60db34761f803d0ae644c1e2dda0615a,CARLBL_5B99AB135B,2020_P,0.0,30.0,20.0,0.0,50.0,DMU,33.33333333333333
DIAG_00059,stu_c67ce3057821aa7e69081f9cf7dae4b8,,2020_P,10.0,10.0,10.0,10.0,40.0,DMU,26.66666666666667
DIAG_00060,stu_53ffc0fd7625cd907e7e7815775eba04,,2020_P,10.0,40.0,20.0,20.0,90.0,DMU,60.0
DIAG_00061,stu_4404142307655c4dea497f3c7523049e,CARLBL_DAB7ED3371,2020_P,30.0,20.0,10.0,10.0,70.0,DMU,46.66666666666666
DIAG_00062,stu_972ffa18592aec18bfa2ebe48fd9c010,,2020_P,40.0,30.0,30.0,0.0,100.0,DMU,66.66666666666666
DIAG_00063,stu_30c451beef66897d283012d6df9d8365,,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00064,stu_921efa9796c490a04197ac6a3a5aad06,,2020_P,40.0,40.0,40.0,10.0,130.0,DMU,86.66666666666667
DIAG_00065,stu_291d2eb007b567c0da793369ec877dc6,,2020_P,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00066,stu_bfad2a252df9f76d40306159bf012868,,2020_P,40.0,10.0,20.0,10.0,80.0,DMU,53.33333333333334
DIAG_00067,stu_81678236339613c1840d7b3e288a975e,CARLBL_D174EB3A71,2020_P,40.0,10.0,10.0,10.0,70.0,DMU,46.66666666666666
DIAG_00068,stu_3ecee9bdd4bec4d1fcad24aec697c53a,,2020_P,20.0,10.0,10.0,10.0,50.0,DMU,33.33333333333333
DIAG_00069,stu_5e8b4f298bf99a4ea33340108ec568e9,,2020_P,30.0,20.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00070,stu_6ac01d8e4a5c89b0630e1d2a6e7a91a7,,2020_P,10.0,10.0,20.0,10.0,50.0,DMU,33.33333333333333
DIAG_00071,stu_757f8e823a5d206abe222755c4f92750,CARLBL_5B99AB135B,2020_P,20.0,30.0,30.0,20.0,100.0,DMU,66.66666666666666
DIAG_00072,stu_5b5a3c5d9cab665f12bcc18f918a058d,,2020_P,30.0,20.0,0.0,20.0,70.0,DMU,46.66666666666666
DIAG_00073,stu_a5e8fa259f53aa0f55148ebd6cf48c25,CARLBL_8DBD054572,2020_P,0.0,30.0,10.0,10.0,50.0,DMU,33.33333333333333
DIAG_00074,stu_b8f4aeaa8ae14cf6ee45b393917b6f80,CARLBL_F041EA11A4,2020_P,30.0,40.0,30.0,30.0,130.0,DMU,86.66666666666667
DIAG_00075,stu_9454727166598e82826fe4563a60cd60,,2020_P,30.0,20.0,30.0,10.0,90.0,DMU,60.0
DIAG_00076,stu_42ef1bf4e5cf682940dd50643838a4e3,,2020_P,30.0,30.0,10.0,0.0,70.0,DMU,46.66666666666666
DIAG_00077,stu_ea0ba165eb2de71a28373fe9c03f974d,,2020_P,30.0,20.0,30.0,30.0,110.0,DMU,73.33333333333333
DIAG_00078,stu_757837c7a2b6ec0a567c285f2258c281,CARLBL_783067A8AC,2020_P,20.0,30.0,20.0,20.0,90.0,DMU,60.0
DIAG_00079,stu_914ab3a2c01b0866929a23b4bd24ddd8,,2020_P,30.0,20.0,10.0,20.0,80.0,DMU,53.33333333333334
DIAG_00080,stu_7d3c09358c448729269b26371a25246a,CARLBL_F041EA11A4,2020_P,30.0,30.0,40.0,10.0,110.0,DMU,73.33333333333333
DIAG_00081,stu_322e37e80133405d439ebb618873c9d9,,2020_P,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00082,stu_1a611c1f074ba6e2294aaed46fbc5e8e,CARLBL_563A8FB47A,2020_P,20.0,30.0,20.0,10.0,80.0,DMU,53.33333333333334
DIAG_00083,stu_b6e65154aec44b067b2b0fbe0c32fb92,,2020_P,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
DIAG_00084,stu_301c45293b3e4a9391035853c511fdb0,,2020_P,0.0,10.0,0.0,30.0,40.0,DMU,26.66666666666667
DIAG_00085,stu_928d8820c375a06d16fbb183e59b3430,CARLBL_D174EB3A71,2020_P,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00086,stu_94dbb58ed80d2a3254cd78aba905afe1,,2020_P,10.0,10.0,0.0,10.0,30.0,DMU,20.0
DIAG_00087,stu_ca830994b563ce9b290edfbbc01aa972,CARLBL_DAB7ED3371,2020_P,40.0,30.0,40.0,20.0,130.0,DMU,86.66666666666667
DIAG_00088,stu_acdfc841d0ae8c0f23a8acd36e6f7897,CARLBL_F867BE971F,2020_P,10.0,10.0,10.0,20.0,50.0,DMU,33.33333333333333
DIAG_00089,stu_7bf6e091956f91aaf09bc32d0f62af87,CARLBL_8DBD054572,2020_P,10.0,20.0,20.0,10.0,60.0,DMU,40.0
DIAG_00090,stu_b3107d42592b299082b050eb9db15129,,2020_P,30.0,10.0,30.0,0.0,70.0,DMU,46.66666666666666
DIAG_00091,stu_a65f4471ab1e21a8fafaf27ecbf55f2d,CARLBL_563A8FB47A,2020_P,20.0,20.0,10.0,10.0,60.0,DMU,40.0
DIAG_00092,stu_a29127fe81b0237fd9b80bf13c2b1277,CARLBL_4D358FAC4B,2020_P,30.0,30.0,30.0,0.0,90.0,DMU,60.0
DIAG_00093,stu_83a5751b94f6aa7cab7a358b7ce5e0a5,,2020_P,10.0,30.0,40.0,20.0,100.0,DMU,66.66666666666666
DIAG_00094,stu_070e7782d5b2fdd8aa51f788d1ad89ac,CARLBL_783067A8AC,2020_P,30.0,30.0,40.0,0.0,100.0,DMU,66.66666666666666
DIAG_00095,stu_106149d36ae9351e127a0706e2bd7c01,,2020_P,30.0,20.0,10.0,0.0,60.0,DMU,40.0
DIAG_00096,stu_6789a0a70eea10ef7f9e699f6defc7c4,,2020_P,30.0,30.0,40.0,20.0,120.0,DMU,80.0
DIAG_00097,stu_4b8756c269d8a388985222d7b0360b35,CARLBL_F041EA11A4,2020_P,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00098,stu_612bd517ba73a8e6c794731c97ac55fd,CARLBL_255574A75E,2020_P,20.0,20.0,40.0,10.0,90.0,DMU,60.0
DIAG_00099,stu_fc21ef0c33227b2dcba79f5299168fa3,,2020_P,20.0,30.0,40.0,10.0,100.0,DMU,66.66666666666666
DIAG_00100,stu_d6a11445f8a96ddda4ddbf07b84e7a34,,2020_P,30.0,30.0,20.0,10.0,90.0,DMU,60.0
DIAG_00101,stu_44170cfc6681bbcc19d43ae5c3b0862a,,2020_P,30.0,40.0,30.0,20.0,120.0,DMU,80.0
DIAG_00102,stu_d71be21babea1769603efd4b428d8f8f,,2020_P,20.0,20.0,0.0,0.0,40.0,DMU,26.66666666666667
DIAG_00103,stu_83a7b74755c7747b6d735e55ee985af5,,2020_P,30.0,30.0,30.0,10.0,100.0,DMU,66.66666666666666
DIAG_00104,stu_ec63fc6c12db7ade59f84ce4d06f193b,CARLBL_F7A3F2E0E2,2020_P,40.0,30.0,30.0,20.0,120.0,DMU,80.0
DIAG_00105,stu_d247586855d95597ec6b5a4bf84bf597,CARLBL_CC13F1BB98,2020_P,30.0,40.0,30.0,20.0,120.0,DMU,80.0
DIAG_00106,stu_2da595b0b44faebcd5c360e128044a62,,2020_P,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00107,stu_bd8e7ef0b5363bb62d32d7c57dd3bd00,,2020_P,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00108,stu_1d1e862a927a65e85479479323db1303,CARLBL_F041EA11A4,2020_P,30.0,20.0,0.0,10.0,60.0,DMU,40.0
DIAG_00109,stu_9ca0462294bdd0311a382491c2cbde57,CARLBL_8DBD054572,2020_P,30.0,30.0,20.0,20.0,100.0,DMU,66.66666666666666
DIAG_00110,stu_3e545bf9caf07abd4b9d23a2fb7bc28b,CARLBL_783067A8AC,2020_P,30.0,30.0,30.0,30.0,120.0,DMU,80.0
DIAG_00111,stu_ab7ad012c1b32bf71497b33ed936bdd2,CARLBL_BD76F0F196,2020_P,30.0,30.0,10.0,10.0,80.0,DMU,53.33333333333334
DIAG_00112,stu_71fcd82f27651ca12d6984b492a92c22,CARLBL_F041EA11A4,2020_P,40.0,40.0,40.0,20.0,140.0,DMU,93.33333333333333
DIAG_00113,stu_c6de6c33c04487d3b41480dd224c0b49,CARLBL_B2CB496E63,2020_P,20.0,20.0,10.0,0.0,50.0,DMU,33.33333333333333
DIAG_00114,stu_842ac943d450dd0a1bd77b0e309f613a,CARLBL_255574A75E,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00115,stu_3548289b4357d277eaadf4def0712577,CARLBL_4D358FAC4B,2020_P,30.0,20.0,30.0,10.0,90.0,DMU,60.0
DIAG_00116,stu_d74df2533869a8e8dc31d7e15e31c2f7,CARLBL_B3FCCAA8C1,2020_P,20.0,10.0,10.0,20.0,60.0,DMU,40.0
DIAG_00117,stu_9ba82bd5673862460c83d842e8c86937,,2020_P,30.0,10.0,30.0,30.0,100.0,DMU,66.66666666666666
DIAG_00118,stu_5d61f69a25e91082b555285b0b0d5306,CARLBL_9FDFCF684F,2020_P,40.0,20.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00119,stu_56fae54e0180342e3c4bc6e75c8d89dc,,2020_P,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
DIAG_00120,stu_7d5403930afa23ba22e56f5e463d606f,,2020_P,30.0,10.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00121,stu_d0b3c82ad6c744aded6bbcafe7528247,CARLBL_9FDFCF684F,2020_P,40.0,30.0,20.0,20.0,110.0,DMU,73.33333333333333
DIAG_00122,stu_02f974e56e9ddf5976ae743ffecd30cb,CARLBL_563A8FB47A,2020_P,40.0,10.0,10.0,10.0,70.0,DMU,46.66666666666666
DIAG_00123,stu_182bbe18f4adac741cf6d2afd9b1d2ee,,2020_P,20.0,10.0,10.0,0.0,40.0,DMU,26.66666666666667
DIAG_00124,stu_9de4a0ebbae54f75fe7f4d00d8896218,CARLBL_F041EA11A4,2020_P,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00125,stu_44a2935edc6ef90b9b472f948ecc5b10,,2020_P,30.0,30.0,20.0,20.0,100.0,DMU,66.66666666666666
DIAG_00126,stu_aca54ea3e849cf4a1e5f48c05acf4f7c,CARLBL_B2CB496E63,2020_P,40.0,20.0,30.0,10.0,100.0,DMU,66.66666666666666
DIAG_00127,stu_075dc1b050d65f474dd6ab5fb6ea5245,CARLBL_F041EA11A4,2020_P,30.0,20.0,20.0,10.0,80.0,DMU,53.33333333333334
DIAG_00128,stu_a5bfad12da785c7668445f02b035e7d0,CARLBL_D174EB3A71,2020_P,30.0,20.0,20.0,10.0,80.0,DMU,53.33333333333334
DIAG_00129,stu_6032055460f80a5421181e8c9173a14c,CARLBL_F041EA11A4,2020_P,40.0,10.0,40.0,20.0,110.0,DMU,73.33333333333333
DIAG_00130,stu_d2fd0f0b5d89b11f442a7a54ef4b1ca1,CARLBL_783067A8AC,2020_P,40.0,20.0,20.0,20.0,100.0,DMU,66.66666666666666
DIAG_00131,stu_80a66dba11792574167a70dc313d752f,,2020_P,40.0,40.0,30.0,20.0,130.0,DMU,86.66666666666667
DIAG_00132,stu_4ce240581db718b891f3b5981c15e82a,CARLBL_DAB7ED3371,2020_P,10.0,30.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00133,stu_7c0833531cb6a13b551744a596250045,,2020_P,40.0,20.0,20.0,20.0,100.0,DMU,66.66666666666666
DIAG_00134,stu_2d03ed5201f0032c44ac8fab5cfc7049,,2020_P,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00135,stu_05ca7eb4546626f8a1150e30887a633b,,2020_P,30.0,10.0,20.0,20.0,80.0,DMU,53.33333333333334
DIAG_00136,stu_d8514196546c8fc080c5b4f6da216682,,2020_P,40.0,40.0,10.0,30.0,120.0,DMU,80.0
DIAG_00137,stu_54e848530db10e9195204c7d5f586a66,CARLBL_4D358FAC4B,2020_P,20.0,30.0,40.0,10.0,100.0,DMU,66.66666666666666
DIAG_00138,stu_f925cb56cebc1da2555c55343a218f5a,CARLBL_4D358FAC4B,2020_P,30.0,20.0,0.0,20.0,70.0,DMU,46.66666666666666
DIAG_00139,stu_8f543ba74a2243768c6bf3d0a15b4b42,CARLBL_D174EB3A71,2020_P,20.0,30.0,20.0,20.0,90.0,DMU,60.0
DIAG_00140,stu_1841e423a655fabeefd9bc072dee6eb2,,2020_P,20.0,0.0,20.0,10.0,50.0,DMU,33.33333333333333
DIAG_00141,stu_69bfb0214c42de8ddf7b636587638f6e,CARLBL_F867BE971F,2020_P,20.0,20.0,0.0,0.0,40.0,DMU,26.66666666666667
DIAG_00142,stu_da75fcab339fc60e7581a892606afe84,CARLBL_F867BE971F,2020_P,20.0,30.0,10.0,0.0,60.0,DMU,40.0
DIAG_00143,stu_daf08a2af2873e7002eb888a77a2b8ea,,2020_P,40.0,30.0,30.0,20.0,120.0,DMU,80.0
DIAG_00144,stu_6dbce606dc771bd0fb5bc0f531747dde,,2020_P,40.0,40.0,40.0,10.0,130.0,DMU,86.66666666666667
DIAG_00145,stu_72314d9f8313be6941317fc0f620e79a,CARLBL_F867BE971F,2020_P,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
DIAG_00146,stu_79aba453f41e84e177fa7011aa7ea6f4,,2020_P,30.0,20.0,40.0,20.0,110.0,DMU,73.33333333333333
DIAG_00147,stu_97ebb092eafb60d9242e1efc69dd9448,,2020_P,30.0,20.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00148,stu_26c7d8272cf0a4a9ed2b3b83a8b76e43,,2020_P,40.0,20.0,20.0,10.0,90.0,DMU,60.0
DIAG_00149,stu_dd8c1daaea30457055af5521daa386b5,CARLBL_41179F062D,2020_P,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
DIAG_00150,stu_ef6206bc8935479d4d3b5fc4aa35342c,,2020_P,20.0,30.0,20.0,30.0,100.0,DMU,66.66666666666666
DIAG_00151,stu_46593678c6f720183df1aa0960a6c613,CARLBL_39611AFCAD,2020_P,10.0,20.0,20.0,10.0,60.0,DMU,40.0
DIAG_00152,stu_a1d08758e0561db9f4f507c015eb9eea,CARLBL_CC13F1BB98,2020_P,0.0,30.0,20.0,20.0,70.0,DMU,46.66666666666666
DIAG_00153,stu_dcbc0881a86d217cb0c68c1dfd6930b2,CARLBL_CC13F1BB98,2020_P,30.0,20.0,0.0,10.0,60.0,DMU,40.0
DIAG_00154,stu_9e0884b20aefde8bfd19c4a40f929fb5,CARLBL_F041EA11A4,2020_P,20.0,30.0,0.0,10.0,60.0,DMU,40.0
DIAG_00155,stu_335c5423c804591c09720856da75943a,CARLBL_39611AFCAD,2020_P,30.0,30.0,0.0,10.0,70.0,DMU,46.66666666666666
DIAG_00156,stu_8513484f403d36647aabd4ad03c16044,,2020_P,40.0,40.0,20.0,10.0,110.0,DMU,73.33333333333333
DIAG_00157,stu_bd9429606c7f73e33400d56db8d8c6e7,CARLBL_563A8FB47A,2020_P,30.0,10.0,10.0,20.0,70.0,DMU,46.66666666666666
DIAG_00158,stu_c9f772db31c4e44c820a0adf377dd10a,CARLBL_9FDFCF684F,2020_P,10.0,30.0,20.0,30.0,90.0,DMU,60.0
DIAG_00159,stu_98e26c4bdd8b2cf3404c910cb5a4103e,,2020_P,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00160,stu_3c306df5196f8958a793fd83dcc9d1c2,,2020_P,30.0,10.0,20.0,20.0,80.0,DMU,53.33333333333334
DIAG_00161,stu_392ceaeff76826dc1523d23c05b44c40,CARLBL_563A8FB47A,2020_P,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00162,stu_1831831405a1e4261b7eb83ac8d0ea72,CARLBL_4D358FAC4B,2020_P,0.0,10.0,0.0,20.0,30.0,DMU,20.0
DIAG_00163,stu_9d3f4c5923f12a01c58906d157c17fd3,CARLBL_F7A3F2E0E2,2020_P,10.0,0.0,10.0,10.0,30.0,DMU,20.0
DIAG_00164,stu_c19d7530748a9a5ac28a8c272de5c96e,,2020_P,20.0,40.0,10.0,20.0,90.0,DMU,60.0
DIAG_00165,stu_e5d6bad285b2a2c6da6a726c68b85bca,,2020_P,10.0,30.0,10.0,0.0,50.0,DMU,33.33333333333333
DIAG_00166,stu_edee3617e3b63a4faa144ae583fbac49,,2020_P,30.0,30.0,20.0,20.0,100.0,DMU,66.66666666666666
DIAG_00167,stu_3ae5471039a9cd997beb73178a34c53e,,2020_P,20.0,20.0,30.0,0.0,70.0,DMU,46.66666666666666
DIAG_00168,stu_6af73d63eba887ed94e7d83132338611,CARLBL_F041EA11A4,2020_P,30.0,40.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00169,stu_59fb48a36f2de82044340408d1bed678,CARLBL_9393C45E8D,2020_P,20.0,20.0,20.0,0.0,60.0,DMU,40.0
DIAG_00170,stu_8fd7903b81af45ecca0927f378824b9e,,2020_P,40.0,30.0,40.0,10.0,120.0,DMU,80.0
DIAG_00171,stu_ab460c52927a98c15c49d68c83233a26,,2020_P,30.0,40.0,20.0,10.0,100.0,DMU,66.66666666666666
DIAG_00172,stu_1ac6810dcdeb81b2158f79d37a9d4fef,,2020_P,30.0,30.0,10.0,0.0,70.0,DMU,46.66666666666666
DIAG_00173,stu_632a2b7b285728997f08175a64658783,,2020_P,20.0,20.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00174,stu_35ca6a4dd41a4fbc75a5eaf42eee8e64,CARLBL_ADFF4A692B,2020_P,20.0,30.0,10.0,0.0,60.0,DMU,40.0
DIAG_00175,stu_2b21b3eba4932bc5316c8f1400e9c423,,2020_P,20.0,10.0,30.0,10.0,70.0,DMU,46.66666666666666
DIAG_00176,stu_b88bbf214387f54a9260f3ed35772317,,2020_P,20.0,30.0,30.0,0.0,80.0,DMU,53.33333333333334
DIAG_00177,stu_1b3ddccf9695424807176661a72e5615,,2020_P,40.0,20.0,30.0,10.0,100.0,DMU,66.66666666666666
DIAG_00178,stu_03295e6a5cdf024746fbc8c4cd7adcb4,,2020_P,30.0,10.0,20.0,10.0,70.0,DMU,46.66666666666666
DIAG_00179,stu_ef3b7c044877ca98d7317b862dda78ef,,2020_P,30.0,10.0,30.0,0.0,70.0,DMU,46.66666666666666
DIAG_00180,stu_68a71c3e42fd0a0929e6d5ae790b22c2,,2020_P,0.0,40.0,10.0,10.0,60.0,DMU,40.0
DIAG_00181,stu_5a536da2e3587e5c90cd5fa7e0550ec1,CARLBL_563A8FB47A,2020_P,40.0,20.0,20.0,0.0,80.0,DMU,53.33333333333334
DIAG_00182,stu_e416d5e4fb11c61f156559fc486535ab,,2020_P,40.0,30.0,40.0,10.0,120.0,DMU,80.0
